iter	RMSE
133	3.467689063
134	3.456922976
135	3.449150499
136	3.443583506
137	3.436183725
138	3.424930819
139	3.420034696
140	3.413135665
141	3.40108375
142	3.396386454
143	3.386070058
144	3.381671974
145	3.376085983
146	3.371408899
147	3.364204743
148	3.35592156
149	3.347129516
150	3.344361742
151	3.336119069
152	3.329665744
153	3.322550553
154	3.312288164
155	3.30601779
156	3.299217302
157	3.290939786
158	3.284564625
159	3.27877381
160	3.270089727
161	3.262432131
162	3.255818086
163	3.251828336
164	3.240750837
165	3.236555968
166	3.232558713
167	3.228464179
168	3.221554482
169	3.216935815
170	3.212768079
171	3.206355546
172	3.197761863
173	3.197240437
174	3.190007823
175	3.180873544
176	3.174737127
177	3.167571602
178	3.160958601
179	3.152617298
180	3.145636262
181	3.138884627
182	3.132818323
183	3.125994323
184	3.120975048
185	3.11537117
186	3.10731233
187	3.102624806
188	3.097379665
189	3.09093559
190	3.084806972
191	3.074725476
192	3.069341949
193	3.062777098
194	3.055536506
195	3.050089037
196	3.044604772
197	3.042621569
198	3.039547762
199	3.029355104
200	3.024995446
201	3.020287843
202	3.016350909
203	3.012055002
204	3.010507049
205	3.005502185
206	2.999754603
207	2.99403268
208	2.986838781
209	2.982266834
210	2.978216462
211	2.975946733
212	2.964367224
213	2.961440423
214	2.955434501
215	2.950082324
216	2.944165838
217	2.935958683
218	2.93080007
219	2.920979396
220	2.913745376
221	2.911348849
222	2.903846107
223	2.89943846
224	2.890432729
225	2.885728855
226	2.876440421
227	2.872413465
228	2.865981157
229	2.863786633
230	2.855097933
231	2.848476221
232	2.845256645
233	2.838249599
234	2.8329487
235	2.828159947
236	2.821562349
237	2.813936449
238	2.805352566
239	2.800578658
240	2.796688062
241	2.793041076
242	2.784331994
243	2.780241937
244	2.77405075
245	2.765634394
246	2.760283024
247	2.753691236
248	2.745060279
249	2.742209101
250	2.734244424
251	2.727638968
252	2.720424567
253	2.713478301
254	2.71067837
255	2.706575314
256	2.702097735
257	2.692900079
258	2.688939314
259	2.684890496
260	2.675616112
261	2.669285158
262	2.667809819
263	2.65875136
264	2.654940946
265	2.653220799
266	2.64934637
267	2.644120167
268	2.64049104
269	2.636624466
270	2.63534902
271	2.628888186
272	2.621999567
273	2.618535897
274	2.609840378
275	2.607122325
276	2.599816999
277	2.598508408
278	2.592049743
279	2.585185619
280	2.580105381
281	2.576773688
282	2.568667066
283	2.561645225
284	2.558842316
285	2.552563193
286	2.547017523
287	2.543253832
288	2.538503969
289	2.53483735
290	2.53349838
291	2.525527821
292	2.519992776
293	2.515019318
294	2.507178036
295	2.504471671
296	2.497060696
297	2.492196198
298	2.487849857
299	2.48043368
300	2.478112056
301	2.474910151
302	2.473202094
303	2.469418696
304	2.464991676
305	2.461397218
306	2.457575101
307	2.450450087
308	2.447646818
309	2.444634506
310	2.440982017
311	2.437059085
312	2.43582285
313	2.430966837
314	2.429789983
315	2.4225468
316	2.416240954
317	2.409861293
318	2.401241849
319	2.397478712
320	2.395249727
321	2.393899856
322	2.386736637
323	2.383921813
324	2.381128584
325	2.373761659
326	2.369397255
327	2.363032231
328	2.357599259
329	2.355033809
330	2.351055886
331	2.349559485
332	2.343836189
333	2.342709088
334	2.335169106
335	2.328454546
336	2.323092346
337	2.318664411
338	2.315850058
339	2.309779929
340	2.304575273
341	2.300095261
342	2.298194347
343	2.297221265
344	2.29588682
345	2.289676706
346	2.283830771
347	2.28178815
348	2.280663858
349	2.275916292
350	2.270298298
351	2.264622428
352	2.258567548
353	2.254682056
354	2.251674832
355	2.249846127
356	2.24900426
357	2.243719865
358	2.23777492
359	2.234418133
360	2.22684153
361	2.223308349
362	2.220400118
363	2.214284708
364	2.212357974
365	2.210183596
366	2.207655836
367	2.201328246
368	2.200148856
369	2.196372211
370	2.192236403
371	2.186769121
372	2.182007845
373	2.177056074
374	2.171653798
375	2.1706357
376	2.166579049
377	2.161498601
378	2.155627722
379	2.149403057
380	2.144923388
381	2.141326312
382	2.138059108
383	2.133013426
384	2.131290599
385	2.129588269
386	2.125059976
387	2.123740793
388	2.121953117
389	2.120698961
390	2.115027304
391	2.111953964
392	2.109243266
393	2.108296651
394	2.104783114
395	2.097898053
396	2.097130358
397	2.094389019
398	2.090212546
399	2.086861049
400	2.083036347
401	2.079542375
402	2.075532315
403	2.073491995
404	2.067066135
405	2.063446623
406	2.062297831
407	2.060000348
408	2.054834707
409	2.051495676
410	2.046716893
411	2.041190552
412	2.037527236
413	2.032402683
414	2.02775374
415	2.025378269
416	2.020855133
417	2.018377392
418	2.013093507
419	2.010746679
420	2.007511368
421	2.006334529
422	2.002350735
423	2.001223663
424	1.996792639
425	1.991707887
426	1.990155787
427	1.988947257
428	1.985112645
429	1.979446895
430	1.978497654
431	1.973642619
432	1.969929582
433	1.968616447
434	1.962896331
435	1.959047283
436	1.957762915
437	1.953072941
438	1.948917315
439	1.947921995
440	1.945525485
441	1.943720527
442	1.942718684
443	1.941636049
444	1.938750227
445	1.935535563
446	1.932695874
447	1.929741606
448	1.925286682
449	1.922202909
450	1.921493652
451	1.916381975
452	1.915144581
453	1.913876643
454	1.911423996
455	1.910525281
456	1.908189454
457	1.905244445
458	1.900303839
459	1.899957557
460	1.896978407
461	1.892825243
462	1.889560258
463	1.885476138
464	1.882808122
465	1.882161901
466	1.878232789
467	1.876399252
468	1.874372071
469	1.87161916
470	1.870598089
471	1.869077924
472	1.864992089
473	1.862239336
474	1.858094737
475	1.854019503
476	1.850912048
477	1.848141637
478	1.844784969
479	1.840572909
480	1.838131716
481	1.834671853
482	1.830439666
483	1.828672743
484	1.826161474
485	1.823560841
486	1.821356459
487	1.819787137
488	1.816369902
489	1.812851546
490	1.808743813
491	1.805591765
492	1.802486126
493	1.799450968
494	1.797029937
495	1.794431321
496	1.791873667
497	1.78756786
498	1.784406654
499	1.782672377
500	1.779146318
501	1.774708272
502	1.772175244
503	1.770447296
504	1.769740456
505	1.766137127
506	1.763856153
507	1.759866449
508	1.755798594
509	1.75228597
510	1.750690741
511	1.746261987
512	1.7429427
513	1.739464831
514	1.737142341
515	1.733265417
516	1.728551411
517	1.726107032
518	1.724108242
519	1.721171067
520	1.718980827
521	1.714488813
522	1.709597024
523	1.70738241
524	1.7049366
525	1.702558722
526	1.70146205
527	1.698549633
528	1.696832853
529	1.696069996
530	1.692679779
531	1.689696548
532	1.688010012
533	1.685614309
534	1.684263939
535	1.680980798
536	1.678476095
537	1.675501804
538	1.674259267
539	1.671873717
540	1.669792896
541	1.666290997
542	1.664717674
543	1.660656014
544	1.65754991
545	1.654558091
546	1.651897369
547	1.64885093
548	1.645723224
549	1.641623306
550	1.638952932
551	1.636284531
552	1.633001203
553	1.632335798
554	1.631506227
555	1.628360115
556	1.626673678
557	1.622894174
558	1.619584855
559	1.617217887
560	1.615708694
561	1.613350305
562	1.610025288
563	1.60697641
564	1.605415214
565	1.601910736
566	1.598400711
567	1.597368251
568	1.596169435
569	1.592358687
570	1.58955916
571	1.587439528
572	1.585877169
573	1.58297575
574	1.579486753
575	1.576891428
576	1.575170018
577	1.571579296
578	1.570844715
579	1.568165825
580	1.565219857
581	1.564240441
582	1.561610991
583	1.559308143
584	1.556023533
585	1.552860454
586	1.552248904
587	1.55170165
588	1.549311095
589	1.548051719
590	1.546054309
591	1.54382288
592	1.543265246
593	1.540517659
594	1.53752272
595	1.534794974
596	1.531551432
597	1.52852481
598	1.527973126
599	1.526996493
600	1.524519125
601	1.521224138
602	1.518625009
603	1.51660734
604	1.513912808
605	1.511159423
606	1.507801928
607	1.507121626
608	1.504516676
609	1.501957094
610	1.499354464
611	1.496845273
612	1.494178696
613	1.490975484
614	1.49031501
615	1.487577433
616	1.484660681
617	1.483503643
618	1.483023187
619	1.479592677
620	1.478803251
621	1.477902685
622	1.476026286
623	1.473835679
624	1.471800394
625	1.469166886
626	1.46661685
627	1.465108468
628	1.462395268
629	1.460403168
630	1.457932119
631	1.45703763
632	1.454813914
633	1.452743032
634	1.449766986
635	1.446409111
636	1.443751459
637	1.441384027
638	1.438876337
639	1.435987277
640	1.43361848
641	1.431310626
642	1.428367219
643	1.425598969
644	1.424006389
645	1.423228876
646	1.422585958
647	1.42167339
648	1.421321917
649	1.420870278
650	1.418858425
651	1.41648601
652	1.414606095
653	1.41335086
654	1.412758028
655	1.411589939
656	1.410650796
657	1.407957972
658	1.405098001
659	1.402769113
660	1.400387167
661	1.39756793
662	1.394533185
663	1.392092582
664	1.390301539
665	1.387570103
666	1.384339982
667	1.38203175
668	1.381358179
669	1.379835683
670	1.377183805
671	1.374962395
672	1.372936808
673	1.370489129
674	1.369110606
675	1.367855678
676	1.36618838
677	1.364114218
678	1.362506854
679	1.361686605
680	1.360049207
681	1.359405638
682	1.356168219
683	1.354419316
684	1.353004125
685	1.351019673
686	1.349448929
687	1.347187317
688	1.3466101
689	1.346069517
690	1.344072761
691	1.341391859
692	1.34089263
693	1.338359713
694	1.336036597
695	1.334864252
696	1.332154952
697	1.329526694
698	1.328515845
699	1.326389881
700	1.324662307
701	1.322380489
702	1.320592272
703	1.318591936
704	1.317490795
705	1.315938756
706	1.313439888
707	1.31244924
708	1.310598997
709	1.308208979
710	1.305542559
711	1.304578707
712	1.303401907
713	1.301066523
714	1.30008045
715	1.29868491
716	1.296466833
717	1.294297554
718	1.29197852
719	1.290839718
720	1.290426624
721	1.289444751
722	1.288311831
723	1.286964634
724	1.284660739
725	1.282442584
726	1.280114303
727	1.278806251
728	1.277847909
729	1.276464752
730	1.275717998
731	1.274405228
732	1.273298279
733	1.2708198
734	1.270388454
735	1.269611575
736	1.26727121
737	1.264315109
738	1.261834294
739	1.260161021
740	1.257671175
741	1.255865982
742	1.253321881
743	1.251074794
744	1.250190056
745	1.249704389
746	1.248279786
747	1.245947045
748	1.244134235
749	1.243662328
750	1.24329348
751	1.2422298
752	1.239979048
753	1.237784937
754	1.235852093
755	1.235258226
756	1.233548124
757	1.231468888
758	1.230549011
759	1.228855498
760	1.227555542
761	1.226364518
762	1.224418906
763	1.223926439
764	1.223591615
765	1.222158879
766	1.221832492
767	1.220012793
768	1.218797838
769	1.217803937
770	1.215548965
771	1.213555247
772	1.211096327
773	1.210184251
774	1.207992136
775	1.20595893
776	1.204067389
777	1.201910667
778	1.199944559
779	1.198743498
780	1.19784174
781	1.19654173
782	1.194086006
783	1.191851422
784	1.189199489
785	1.187240411
786	1.186442709
787	1.185676935
788	1.184222812
789	1.183474373
790	1.181595378
791	1.180600218
792	1.178228885
793	1.175737489
794	1.173797963
795	1.171740759
796	1.16949909
797	1.168560901
798	1.167144326
799	1.165089891
800	1.163830674
801	1.162908181
802	1.161772415
803	1.159491496
804	1.158272437
805	1.156517134
806	1.154782623
807	1.153202724
808	1.151477315
809	1.150331294
810	1.149153823
811	1.14712906
812	1.146456122
813	1.145973956
814	1.144233131
815	1.143791135
816	1.141702128
817	1.13975947
818	1.137753453
819	1.136035092
820	1.135264282
821	1.134071654
822	1.132248757
823	1.130703223
824	1.128550378
825	1.127059203
826	1.126725412
827	1.12441527
828	1.122433022
829	1.121981245
830	1.120461232
831	1.118478722
832	1.118032797
833	1.115949973
834	1.1139366
835	1.113405005
836	1.112072759
837	1.110332626
838	1.108925277
839	1.107083341
840	1.106674812
841	1.105589322
842	1.104036724
843	1.103627396
844	1.101799099
845	1.099768345
846	1.098335699
847	1.097881055
848	1.09745943
849	1.096842288
850	1.095473947
851	1.093408258
852	1.091617684
853	1.089886265
854	1.088078556
855	1.086225045
856	1.084583081
857	1.083672616
858	1.083311189
859	1.081702238
860	1.081350432
861	1.081096569
862	1.079091321
863	1.077459833
864	1.077018117
865	1.075200427
866	1.074805852
867	1.073703132
868	1.072100111
869	1.071028415
870	1.069391763
871	1.068095699
872	1.06660339
873	1.065963253
874	1.064263208
875	1.06285619
876	1.06192556
877	1.059719491
878	1.059294621
879	1.058483865
880	1.056840653
881	1.054748579
882	1.053357444
883	1.051662154
884	1.05014358
885	1.048564158
886	1.047314536
887	1.045371742
888	1.043640855
889	1.042857783
890	1.040994827
891	1.040749742
892	1.040263281
893	1.039760564
894	1.038475582
895	1.036953789
896	1.035353109
897	1.034308064
898	1.033215372
899	1.031579421
900	1.030078036
901	1.028525115
902	1.027212305
903	1.025782559
904	1.025504043
905	1.023641276
906	1.021870119
907	1.02163655
908	1.019975908
909	1.01897595
910	1.018508975
911	1.017394344
912	1.015572006
913	1.01355886
914	1.012986645
915	1.011703449
916	1.011118245
917	1.010852073
918	1.010530623
919	1.009393107
920	1.009074873
921	1.007001705
922	1.006768602
923	1.00491283
924	1.003203892
925	1.002698446
926	1.001557957
927	1.000778074
928	0.9989464795
929	0.9977150733
930	0.9961936672
931	0.9944447485
932	0.9931420472
933	0.9924453118
934	0.9918597059
935	0.9902399261
936	0.9900530216
937	0.9896733445
938	0.9881718132
939	0.9864248869
940	0.9860791892
941	0.9844516629
942	0.983905792
943	0.9823164232
944	0.980526462
945	0.9802844852
946	0.9788167815
947	0.9771806341
948	0.9761989155
949	0.9747349615
950	0.9735406507
951	0.9723468468
952	0.9708188493
953	0.9692242395
954	0.9676485484
955	0.9668445084
956	0.9651191239
957	0.9638294465
958	0.9624149621
959	0.9612512397
960	0.9601919792
961	0.9590215149
962	0.9576362583
963	0.9570827487
964	0.956103662
965	0.9547895159
966	0.9533129826
967	0.9518810275
968	0.9508746056
969	0.9500642169
970	0.948770931
971	0.9475503132
972	0.9459934663
973	0.945772372
974	0.9440293247
975	0.942391166
976	0.9416393466
977	0.9401652704
978	0.9382637361
979	0.9376355619
980	0.9359084602
981	0.9345608955
982	0.9340761683
983	0.9327706116
984	0.9319605847
985	0.930590185
986	0.9292275484
987	0.9278347183
988	0.9272084756
989	0.9268487638
990	0.9258367093
991	0.9243464321
992	0.9231027076
993	0.9225602758
994	0.9211273902
995	0.9208264504
996	0.9198848704
997	0.9193667476
998	0.9190593626
999	0.9181952919
